"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tfsstabwdp_835","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI lateral occipito-temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.oc.temp.lat.fusifor.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_goctemplatfusiforrh"
"tfsstabwdp_836","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI lingual gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.oc.temp.med.lingual.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_goctempmedlingualrh"
"tfsstabwdp_837","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI parahippocampal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.oc.temp.med.parahip.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_goctempmedparahiprh"
"tfsstabwdp_838","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI orbital gyri","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.orbital.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gorbitalrh"
"tfsstabwdp_839","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI angular gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.pariet.inf.angular.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gparietinfangularrh"
"tfsstabwdp_840","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI supramarginal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.pariet.inf.supramar.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gparietinfsupramarrh"
"tfsstabwdp_841","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI superior parietal lobule","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.parietal.sup.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gparietalsuprh"
"tfsstabwdp_842","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI postcentral gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.postcentral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gpostcentralrh"
"tfsstabwdp_843","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI precentral gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.precentral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gprecentralrh"
"tfsstabwdp_844","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI precuneus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.precuneus.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gprecuneusrh"
"tfsstabwdp_845","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI gyrus rectus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.rectus.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_grectusrh"
"tfsstabwdp_846","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI subcallosal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.subcallosal.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gsubcallosalrh"
"tfsstabwdp_847","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI anterior transverse temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temp.sup.g.t.transv.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtempsupgttransvrh"
"tfsstabwdp_848","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI lateral aspect of the superior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temp.sup.lateral.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtempsuplateralrh"
"tfsstabwdp_849","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temp.sup.plan.polar.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtempsupplanpolarrh"
"tfsstabwdp_850","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI planum temporale","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temp.sup.plan.tempo.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtempsupplantemporh"
"tfsstabwdp_851","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI inferior temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temporal.inf.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtemporalinfrh"
"tfsstabwdp_852","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI middle temporal gyrus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_g.temporal.middle.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_gtemporalmiddlerh"
